REGIAO_ORIGEM,UF,DATE,TMIN,TMAX,PREC
Norte Pioneiro do Paraná,PR,1966-07-02,15.128055741600956,28.380255841194316,1116.8498080639129
Norte e Noroeste de Minas,MG,1966-07-02,16.97857288961057,29.95145535469055,1556.9473017939815
Oeste da Bahia,BA,1966-07-02,16.21315210133313,29.976127813206638,1250.5555036412204
Ourinhos e Avaré,SP,1966-07-02,15.464119326683782,27.5659670265772,1151.887482017599
Paraná,PR,1966-07-02,15.767767343081927,27.958005393806257,1162.9819777639289
Pernambuco,PE,1966-07-02,18.479313806387093,27.601543749295747,1157.9184298001803
Pinhal,SP,1966-07-02,15.171352863311768,27.20185375213623,1546.8569007286658
Planalto Central,DF,1966-07-02,16.291147391001385,27.052537670841925,1629.6978714554398
Planalto de Vitória da Conquista,BA,1966-07-02,16.20854083278723,27.459121829585026,617.7510994359067
Rondônia,RO,1966-07-02,19.567365035595834,32.598821332495866,1890.208116215311
Serrana de Itiruçu/Brejões,BA,1966-07-02,17.684520078259844,26.889116730800893,815.2306156602017
Serrana do Rio de Janeiro,RJ,1966-07-02,14.718305344675102,26.076029945822324,1672.6142745672487
Sul de Minas,MG,1966-07-02,14.129090106964112,26.062008389282227,1595.246146875
Sul do Rio de Janeiro,RJ,1966-07-02,15.514693553631123,26.90577751550919,1727.680876903045
Acre,AC,1967-07-02,20.296681653315098,30.616666793823242,2085.2456691109355
Alta Mogiana,SP,1967-07-02,15.739470662741825,28.54059627138335,1756.3989468278555
Atlântico Baiano,BA,1967-07-02,20.029751259442335,27.582627840782408,1393.1634705425943
Campo das Vertentes,MG,1967-07-02,14.583121117423563,26.481034727657544,1212.0645348044002
Caparaó,ES,1967-07-02,14.861642442098479,25.62304608414813,1433.42543885766
Ceará,CE,1967-07-02,19.865956739945844,30.166606614083953,1419.9179786142677
Cerrado Mineiro,MG,1967-07-02,16.41407066349164,28.64634672998148,1365.917014933521
Chapada Diamantina,BA,1967-07-02,16.847631146030356,26.943457911892008,853.6815047140016
Chapada de Minas,MG,1967-07-02,16.66067021393691,28.91195204385235,957.0276962334575
Conilon Capixaba,ES,1967-07-02,20.257360529016566,29.71343852855541,1175.5699835883247
Goiás,GO,1967-07-02,17.234098386994145,29.31032723905952,1335.399591191814
Mantiqueira de Minas,MG,1967-07-02,13.024033839886005,25.90317594088041,1323.4337815504807
Marília e Garça,SP,1967-07-02,16.814910464816624,29.803938378228082,1227.3861626519097
Matas de Minas,MG,1967-07-02,15.581051853153255,26.771755191829655,1157.1752268117625
Matas de Rondônia,RO,1967-07-02,19.968991293423418,32.04958184283713,1573.6768989894701
Mato Grosso,MT,1967-07-02,19.957329521564038,31.920064542513025,1761.2435639466794
Montanhas de Minas,MG,1967-07-02,16.247854573386057,27.42499461926912,1217.573687675304
Montanhas do Espírito Santo,ES,1967-07-02,16.367055180867514,26.10900250752767,1343.8676082356772
Média Mogiana,SP,1967-07-02,14.661205924075583,26.49004196084064,1433.9474049443784
Noroeste/Norte do Rio de Janeiro,RJ,1967-07-02,18.53124226195903,28.742486036276514,1238.870739128016
Norte Pioneiro do Paraná,PR,1967-07-02,15.486519766192064,28.0794168837527,1027.7444934168607
Norte e Noroeste de Minas,MG,1967-07-02,17.176963792906868,30.092185082259,1297.5215979682075
Oeste da Bahia,BA,1967-07-02,16.62893289040754,30.339845741496365,1086.8754172911617
Ourinhos e Avaré,SP,1967-07-02,15.85101253755631,27.393230089577294,1217.7532939295616
Paraná,PR,1967-07-02,16.15869443353854,28.702309194364044,1168.2545698065508
Pernambuco,PE,1967-07-02,17.974405053945688,27.634237964336688,971.8984187199519
Pinhal,SP,1967-07-02,15.341388922471266,27.019331271831806,1372.696998009315
Planalto Central,DF,1967-07-02,16.61491900903207,27.238772286309135,1257.0342859338832
Planalto de Vitória da Conquista,BA,1967-07-02,17.079804558503,27.36935025767276,836.0670899508292
Rondônia,RO,1967-07-02,19.9958683564277,32.42924905875823,1820.019902459338
Serrana de Itiruçu/Brejões,BA,1967-07-02,17.50877550036408,26.885645378467647,765.0130299412926
Serrana do Rio de Janeiro,RJ,1967-07-02,14.883923268785663,26.153652153763115,1699.1920620787378
Sul de Minas,MG,1967-07-02,14.109658676147461,26.34304449157715,1439.0507961914063
Sul do Rio de Janeiro,RJ,1967-07-02,15.56479620322203,27.04462657830654,1659.983914888822
Acre,AC,1968-07-01,20.460286444755056,30.193784986908113,2063.370781673259
Alta Mogiana,SP,1968-07-01,14.800611446643698,28.428448644177667,1107.5711017477101
Atlântico Baiano,BA,1968-07-01,19.288451582329458,26.59330963761839,1429.6239679763307
Campo das Vertentes,MG,1968-07-01,13.289509268367992,25.545687787673053,1080.8334009507123
Caparaó,ES,1968-07-01,13.426620878824373,24.305968261346585,1420.0022716987423
Ceará,CE,1968-07-01,19.914800316396384,30.242191391761857,1178.2177623401988
Cerrado Mineiro,MG,1968-07-01,15.362792646909599,27.772653143351615,1264.1733417392518
Chapada Diamantina,BA,1968-07-01,16.040310650509973,25.93866422717013,919.410713280887
Chapada de Minas,MG,1968-07-01,15.438285173979517,27.21709899223572,1078.9638161004225
Conilon Capixaba,ES,1968-07-01,18.948989303023726,28.34798233597367,1181.1134016248916
Goiás,GO,1968-07-01,16.47866241889819,28.562340404210467,1428.8053985644688
Mantiqueira de Minas,MG,1968-07-01,11.433459318601168,25.39301692522489,1103.5831674429087
Marília e Garça,SP,1968-07-01,15.700931951734756,29.20206726921929,1131.9529215494792
Matas de Minas,MG,1968-07-01,14.118081806422946,25.557005675522596,1150.052250788762
Matas de Rondônia,RO,1968-07-01,20.189472231657607,31.03951286094776,1587.1342179008152
Mato Grosso,MT,1968-07-01,19.85237250021397,31.132036658884747,1828.9114307533448
Montanhas de Minas,MG,1968-07-01,14.851919912754145,26.28296738818176,1132.1354533030574
Montanhas do Espírito Santo,ES,1968-07-01,14.754863001505534,24.861130447387694,1373.0955729166667
Média Mogiana,SP,1968-07-01,13.150385587111764,25.825228981349778,996.5505211871604
Noroeste/Norte do Rio de Janeiro,RJ,1968-07-01,17.081246013882794,27.649790413772003,1070.8632086258901
Norte Pioneiro do Paraná,PR,1968-07-01,14.129715324293636,27.40318249641581,1055.2425770861037
Norte e Noroeste de Minas,MG,1968-07-01,16.16718249409287,29.638679839946604,1051.8398375334564
Oeste da Bahia,BA,1968-07-01,16.051394890973913,29.857284505099535,1135.730463446143
Ourinhos e Avaré,SP,1968-07-01,14.64267405643258,27.054386959281018,953.8129042758736
Paraná,PR,1968-07-01,14.918771108514385,27.947020875780208,1280.8449180000707
Pernambuco,PE,1968-07-01,18.047370529174806,27.43718731219952,890.7322941706731
Pinhal,SP,1968-07-01,13.871962217184214,26.670918464660645,966.4800508939303
Planalto Central,DF,1968-07-01,15.843348414809615,26.603718404416686,1435.3463293004918
Planalto de Vitória da Conquista,BA,1968-07-01,15.754529568186978,26.377265277661774,937.472960354989
Rondônia,RO,1968-07-01,20.50659224228911,31.19023731253655,1824.804942027926
Serrana de Itiruçu/Brejões,BA,1968-07-01,16.703391651774563,26.24055228122445,942.2947366403979
Serrana do Rio de Janeiro,RJ,1968-07-01,13.535564908794328,25.082401387831744,1203.2746103324141
Sul de Minas,MG,1968-07-01,12.733996595001221,25.633185528564454,1207.13894609375
Sul do Rio de Janeiro,RJ,1968-07-01,14.041088715577738,26.203207113803963,1048.4941155849358
Acre,AC,1969-07-02,20.153822330973256,31.200136764564707,1724.8012584897142
Alta Mogiana,SP,1969-07-02,15.872020458352976,28.845392687567347,1260.675657075027
Atlântico Baiano,BA,1969-07-02,20.01789467519821,27.866382024059558,1380.4029981360588
Campo das Vertentes,MG,1969-07-02,14.634274440653185,26.67058577257044,1432.9713404038373
Caparaó,ES,1969-07-02,14.928136988383967,25.597363169600325,1399.9623829911395
Ceará,CE,1969-07-02,20.530362273707535,30.740736470077977,953.1029490461253
Cerrado Mineiro,MG,1969-07-02,16.46466167915929,29.30833371677754,1306.3729985397053
Chapada Diamantina,BA,1969-07-02,16.834313062930196,26.735770342518407,946.8872392505518
Chapada de Minas,MG,1969-07-02,16.302702736769707,28.64393228551247,1088.0695245600257
Conilon Capixaba,ES,1969-07-02,20.11381709134137,29.65076575455842,1106.4188085485387
Goiás,GO,1969-07-02,17.737022940266765,29.81427365971989,1343.15985058437
Mantiqueira de Minas,MG,1969-07-02,13.058035116929274,26.06947689789992,1368.64308988131
Marília e Garça,SP,1969-07-02,16.632150607638888,30.02010663350423,975.7060858832465
Matas de Minas,MG,1969-07-02,15.450935177036099,26.894675101433602,1147.209262661167
Matas de Rondônia,RO,1969-07-02,21.089890250606814,32.21840238156526,1706.8246674026268
Mato Grosso,MT,1969-07-02,20.701198562246855,32.228311389571935,1789.5601536100178
Montanhas de Minas,MG,1969-07-02,15.894655078873598,27.719415126886584,1272.6883924670685
Montanhas do Espírito Santo,ES,1969-07-02,16.3999485651652,26.02994557698568,1498.881962076823
Média Mogiana,SP,1969-07-02,14.234181279721467,26.6238055229187,1217.5097324537194
Noroeste/Norte do Rio de Janeiro,RJ,1969-07-02,18.538792622240283,28.852599807932407,1206.6775018233286
Norte Pioneiro do Paraná,PR,1969-07-02,15.192408879597982,28.133243087335682,1258.9866103584884
Norte e Noroeste de Minas,MG,1969-07-02,17.503048305158263,30.840556074071813,1035.3402283279984
Oeste da Bahia,BA,1969-07-02,16.783830974191268,30.95007673559342,1117.7516506419463
Ourinhos e Avaré,SP,1969-07-02,15.570192367799821,27.845260804699315,1150.3556013209845
Paraná,PR,1969-07-02,15.884134741205918,28.319017303617375,1461.9329904255114
Pernambuco,PE,1969-07-02,18.808921579214243,28.29227024958684,1019.9824979341947
Pinhal,SP,1969-07-02,15.17913869711069,27.551217519319973,1146.1749478853667
Planalto Central,DF,1969-07-02,16.870598245550084,28.06104783658628,1389.544103551794
Planalto de Vitória da Conquista,BA,1969-07-02,16.41689658164978,27.213891840817634,968.2265964976528
Rondônia,RO,1969-07-02,21.46152954077156,32.42024568007378,1910.3424068360625
Serrana de Itiruçu/Brejões,BA,1969-07-02,17.48970356652903,27.070426386456155,901.5569983194041
Serrana do Rio de Janeiro,RJ,1969-07-02,15.021865395938649,25.971295487646962,1442.0678782743566
Sul de Minas,MG,1969-07-02,14.073333338928222,26.649064498901367,1355.125097265625
Sul do Rio de Janeiro,RJ,1969-07-02,15.334479845487154,26.603626055595203,1491.1782649113582
Acre,AC,1970-07-02,20.166966042925964,31.339018996636472,1906.057839858472
Alta Mogiana,SP,1970-07-02,15.587457870614939,27.925521488847405,1526.8083769699622
Atlântico Baiano,BA,1970-07-02,19.5880606315996,27.483216272641535,1578.6944148094142
